,Lagrangian mass,Radius,Density,Temperature,Pressure,Luminosity,E generation rate,Opacity,Adiabatic temperature gradient,Actual temperature gradient,Energy transport
56,1.749791311814301e+31,16798967227.29263,1.5654945496796786,6074461.754813936,1288563456628383.5,5.555202871255658e+30,0.0064713338222378465,1.3144776084292942,0.4,0.4,c
57,1.7685449188652555e+31,16918824684.80139,1.5699268283585321,6056920.471867056,1288440884045550.0,5.614303796230656e+30,0.00638758313176918,1.317898977433343,0.4,0.4,c
58,1.7874995200433505e+31,17039505125.067837,1.5743747324057953,6039409.915222239,1288316997775741.5,5.672484588404458e+30,0.006304709003375205,1.3213310989571798,0.4,0.4,c
59,1.8066572695282756e+31,17161008619.021324,1.578837772735431,6021932.140906614,1288191783739353.5,5.72976040326749e+30,0.006222714391692749,1.3247737710478389,0.4,0.4,c
60,1.8260203445874112e+31,17283335526.726036,1.583315452687399,6004489.1871059425,1288065227705881.2,5.786146101618055e+30,0.0061416018536641056,1.328226795980918,0.4,0.4,c
61,1.8455909458232281e+31,17406486482.35131,1.587807268364959,5987083.072628159,1287937315292304.0,5.841656265453574e+30,0.006061373550239091,1.3316899799604658,0.4,0.4,c
62,1.8653712974234735e+31,17530462380.070053,1.5923127089647522,5969715.79545819,1287808031961448.0,5.89630521231587e+30,0.005982031248885105,1.3351631328421323,0.4,0.4,c
63,1.8853636474138903e+31,17655264360.820076,1.5968312570996497,5952389.331402109,1287677363020336.0,5.950107008242461e+30,0.0059035763268562415,1.3386460678777776,0.4,0.4,c
64,1.9055702679137334e+31,17780893799.868576,1.6013623891143858,5935105.632818447,1287545293618517.0,6.003075479460604e+30,0.005826009775172359,1.3421386014799026,0.4,0.4,c
65,1.9259934553939336e+31,17907352295.12486,1.605905575394065,5917866.627434297,1287411808746378.2,6.055224222947211e+30,0.005749332203260039,1.3456405530043831,0.4,0.4,c
66,1.9466355309381819e+31,18034641656.150703,1.6104602806656663,5900674.217243658,1287276893233439.8,6.106566615965692e+30,0.0056735438442070615,1.3491517445501329,0.4,0.4,c
67,1.9674988405066746e+31,18162763893.821808,1.6150259642926867,5883530.277485404,1287140531746629.8,6.157115824679972e+30,0.005598644560583478,1.352672000774445,0.4,0.4,c
68,1.9885857552026816e+31,18291721210.597305,1.6196020805631213,5866436.65569814,1287002708788542.8,6.2068848119363e+30,0.005524633850783354,1.3562011487228496,0.4,0.4,c
69,2.0098986715421164e+31,18421515991.357594,1.6241880789709562,5849395.170849179,1286863408695677.8,6.25588634429479e+30,0.005451510855841879,1.3597390176724249,0.4,0.4,c
70,2.0314400117258517e+31,18552150794.77374,1.628783404491408,5832407.612534825,1286722615636657.8,6.304132998384918e+30,0.005379274366685056,1.3632854389876043,0.4,0.4,c
71,2.053212223914951e+31,18683628345.17437,1.6333874978501308,5815475.740249159,1286580313610431.8,6.351637166652184e+30,0.0053079228317690404,1.3668402459875613,0.4,0.4,c
72,2.075217782509e+31,18815951524.878468,1.6379997957866173,5798601.282718506,1286436486444455.0,6.398411062556859e+30,0.005237454365069345,1.3704032738243703,0.4,0.4,c
73,2.097459188427272e+31,18949123366.964775,1.642619731312044,5781785.937298798,1286291117792851.5,6.444466725280105e+30,0.005167866754380452,1.37397435937118,0.4,0.4,c
74,2.1199389693929026e+31,19083147048.450516,1.6472467339618033,5765031.369433075,1286144191134556.5,6.489816023987582e+30,0.005099157469888676,1.37755334111969,0.4,0.4,c
